"WBIC","lake","depth_feet","area_acres","volume_acre_ft"
1138400,"35i",27,15.01673889,203.227008508065
1138400,"35i",22,12.3323916962403,134.854182042464
1138400,"35i",17,9.5533489470402,80.139830434263
1138400,"35i",12,7.2623952619818,38.100469911708
1138400,"35i",7,3.6272932788795,10.8762485595547
1138400,"35i",2,0.516575817816,0.516575817816
1138400,"35i",0,0,0
1831700,"adelaide",21,57.23088854,403.07552712261
1831700,"adelaide",19,49.5409658275877,296.303672755023
1831700,"adelaide",16,34.9839482885739,169.51630158078
1831700,"adelaide",11,13.7556016172252,47.6674268162825
1831700,"adelaide",6,2.56942526663458,6.85485960663321
1831700,"adelaide",1,0.143765480015582,0.071882740007791
1831700,"adelaide",0,0,0
2329600,"alder",30,264.2953848,2935.96228340467
2329600,"alder",25,182.894520644678,1817.98751979298
2329600,"alder",20,132.71592747732,1028.96139948798
2329600,"alder",15,89.408485723992,473.6503664847
2329600,"alder",10,42.892497999192,142.89790717674
2329600,"alder",5,6.7395323124,18.81783139776
2329600,"alder",0,0.787600246704,0
2449300,"alexander",10,50.11553426,286.078262881427
2449300,"alexander",5,32.111528577095,80.51060578869
2449300,"alexander",0,0.092713738381,0
2165700,"anderson",25,44.56288578,508.302100360992
2165700,"anderson",20,32.782686924057,314.93816860085
2165700,"anderson",15,23.9721587764932,173.051054349474
2165700,"anderson",10,15.3826625423982,74.6640010522455
2165700,"anderson",5,6.855999977253,19.0673447531175
2165700,"anderson",0,0.770937923994,0
2449400,"antler",22,94.02840385,847.491167876589
2449400,"antler",19,83.284718426099,581.521484462441
2449400,"antler",17,73.389169204925,424.847596831416
2449400,"antler",12,45.79183267495,126.895092131729
2449400,"antler",7,2.059222044315,7.2674553335665
2449400,"antler",2,0.605542920794,0.605542920794
2449400,"antler",0,0,0
1541500,"arrowhead",43,96.36182269,1892.41996364388
1541500,"arrowhead",38,80.7328986679089,1449.6831602491
1541500,"arrowhead",33,71.9389187292195,1068.00361675628
1541500,"arrowhead",28,63.3829524925744,729.698938701798
1541500,"arrowhead",23,51.7241355653113,441.931218557084
1541500,"arrowhead",18,35.0882304961097,224.900303403531
1541500,"arrowhead",13,18.9900243975183,89.7046661694613
1541500,"arrowhead",8,7.1076480416144,24.4604850716296
1541500,"arrowhead",3,1.6728412418984,2.5092618628476
1541500,"arrowhead",0,0,0
2410400,"augustine",10,171.1245206,1168.45790597667
2410400,"augustine",7,164.931524199486,664.37383877744
2410400,"augustine",5,142.159984243244,357.28233033471
2410400,"augustine",0,0.75294789064,0
2340700,"ballard",25,502.5889546,5368.03954156781
2340700,"ballard",20,419.073748014118,3063.88278503252
2340700,"ballard",15,222.69716578326,1459.45550053907
2340700,"ballard",10,126.808219135126,585.69203824311
2340700,"ballard",5,53.279455077146,135.47285271243
2340700,"ballard",0,0.909686007826,0
1523500,"bearskin",27,184.0830352,1453.83718917492
1523500,"bearskin",24,164.500281915424,930.962213501784
1523500,"bearskin",22,123.779273698832,642.682657887528
1523500,"bearskin",17,47.139983654016,215.384514505408
1523500,"bearskin",12,16.707376274752,55.766114683488
1523500,"bearskin",7,2.588207474912,7.527155309328
1523500,"bearskin",2,0.301896177728,0.301896177728
1523500,"bearskin",0,0,0
1405200,"bigbass",13,176.9361856,918.778300326976
1405200,"bigbass",10,155.498597352704,420.12612589792
1405200,"bigbass",8,74.705996284032,189.921532261184
1405200,"bigbass",3,0.789135387776,1.183703081664
1405200,"bigbass",0,0,0
2453300,"bigbass",27,201.2364266,2966.58715365188
2453300,"bigbass",24,185.51986168254,2386.45272122807
2453300,"bigbass",22,161.659258580578,2039.27360096495
2453300,"bigbass",17,135.997589460546,1295.13148086214
2453300,"bigbass",12,117.560509291881,661.236233981075
2453300,"bigbass",7,68.235247531528,196.746841922554
