"WBIC","lakename","max_depth","max_vol","lower_depth","lower_vol","vol_pcnt_loss"
1138400,"35i",27,203.227008508065,26,189.552443214945,6.72871455103738
1831700,"adelaide",21,403.07552712261,20,349.689599938816,13.2446461249816
2329600,"alder",30,2935.96228340467,29,2712.36733068233,7.6157297382938
2449300,"alexander",10,286.078262881427,9,244.96473146288,14.3714279457814
2165700,"anderson",25,508.302100360992,24,469.629314008964,7.60822871370458
2449400,"antler",22,847.491167876589,21,758.83460673854,10.4610601854626
1541500,"arrowhead",43,1892.41996364388,42,1803.87260296492,4.67905445831672
2410400,"augustine",10,1168.45790597667,9,1000.42988357693,14.380323119924
2340700,"ballard",25,5368.03954156781,24,4907.20819026076,8.58472348682563
1523500,"bearskin",27,1453.83718917492,26,1279.54553061721,11.9883890614069
1405200,"bigbass",13,918.778300326976,12,752.560908850624,18.0911316056548
2453300,"bigbass",27,2966.58715365188,26,2773.20900951061,6.51853912005318
1834700,"bigbeaver",43,325.887343048522,42,310.87794460739,4.60570155954079
1835100,"bigdummy",54,1349.8896018266,53,1239.63807523663,8.16744765207311
2314300,"bigmartha",55,2051.81047636418,54,1929.76328600492,5.94826821313099
2079000,"bigmoon",48,4453.52065732781,47,4275.10079785388,4.0062654515895
2419000,"bigole",30,1285.38408400159,29,1202.86550774397,6.41976023234514
1374800,"bigrocheacri",20,2163.53273831217,19,1958.42939303707,9.48002041490288
1602600,"bigsand",56,21585.6910947106,55,20312.2671055697,5.89938947774952
1835500,"bills",25,868.733186115222,24,804.068908178619,7.44351418480586
1523800,"birch",27,2569.51296176281,26,2393.69707499058,6.84238178162812
2113000,"birch",73,9046.68642876425,72,8715.40989696518,3.66185491679879
2453500,"birchisland",13,4316.55427520595,12,3606.02317816588,16.4606084330114
2454100,"bluegill",68,506.05410384576,67,487.17573882048,3.7305032963499
2356800,"bog",9,216.179075611853,8,180.226113001233,16.6311020198704
1619100,"boot",15,2578.80381059877,14,2306.84396998147,10.5459686192318
1836600,"boot",20,260.139744709606,19,233.96697544608,10.0610421113247
1836700,"boot",44,1495.37349370313,43,1412.89387601777,5.51565331555405
2297800,"boot",16,1805.34442009061,15,1638.00621432592,9.26904605583713
1537800,"booth",34,3301.71269560135,33,3107.87845983284,5.87071782553182
1541300,"brandy",44,2226.33002121172,43,2122.2770949873,4.67374222298765
1782700,"bugle",10,74.9727508961418,9,56.3620138811803,24.8233348683478
2105800,"butternut",14,1183.53532721323,13,1043.04434944061,11.8704507201674
2079400,"camelia",6,270.367746003912,5,213.628622818681,20.9859067968891
2431300,"chippewa",11,1248.77528201486,10,1028.99102410133,17.5999846472711
2425700,"christy",10,821.980198625184,9,714.377136976942,13.0907121398076
1628450,"clair",18,545.263943103552,17,495.485408846362,9.12925471907408
1613300,"crooked",13,1055.09293718114,12,894.962175907096,15.1769342425759
2459100,"crooked",10,948.790906891776,9,795.351698374656,16.1720783159468
2459200,"crooked",13,1440.20796632301,12,1217.87222965355,15.4377521766599
1612500,"crystal",9,585.349301880261,8,480.741847938162,17.8709453664809
1842400,"crystal",67,3195.92652263006,66,3107.19579531447,2.77636944051425
1842500,"crystal",46,1510.93238884148,45,1425.80203886445,5.63429248096968
2469700,"crystal",22,161.761680743415,21,148.091794578783,8.45063311768832
1842800,"currier",39,321.492457949245,38,303.839539763587,5.49092762494764
2092700,"dark",62,364.209335315182,61,349.564768586726,4.02092019848513
1843500,"day",57,2212.41022967939,56,2109.90234521948,4.6333127141059
1445100,"deepwoods",25,781.753951931145,24,713.449986579965,8.73727151393998
2239100,"deer",18,794.893193589895,17,674.647266453786,15.1273061721733
2460700,"deer",23,1918.93927272777,22,1777.77875345696,7.35617438639156
1844400,"delano",15,125.462957345972,14,113.68650582059,9.38639720798814
1844500,"dells",42,1298.7227807068,41,1194.42339004743,8.03092024016092
1295400,"delton",16,2437.50297564014,15,2238.68957187475,8.15643737678633
2461100,"devils",24,13243.9880484496,23,12292.1754855511,7.18675190144018
1537100,"diamond",17,1109.29838865418,16,1005.15493563664,9.38822719682149
1844700,"diamond",40,2491.42344605557,39,2382.96983394444,4.35307824861464
1451700,"dynamite",28,1306.96642083868,27,1214.63951992601,7.06421369673932
1315000,"eaglenestflowage",12,1344.33955988145,11,1060.56245692429,21.1090346089486
1523000,"easthorsehead",26,3053.17069924693,25,2872.98529607343,5.90158300739423
2463300,"ellison",18,1512.32938245359,17,1397.36400730676,7.6018740679565
1764000,"esadore",36,655.019409423348,35,610.305809930224,6.82630145761453
2130100,"fallcreekpond",10,31.198048917988,9,22.762318179497,27.039289414112
1571100,"fifth",14,1481.16095954365,13,1286.80153233914,13.1221003329972
2175700,"finley",30,850.504943357661,29,795.602493479073,6.45527698661472
