"WBIC","lakename","max_depth","max_area","lower_depth","lower_area","area_pcnt_loss"
1138400,"35i",27,15.01673889,26,14.4798694512481,3.57514
1831700,"adelaide",21,57.23088854,20,53.3859271837939,6.71833244999999
2329600,"alder",30,264.2953848,29,248.015211968936,6.15983999999999
2449300,"alexander",10,50.11553426,9,46.514733123419,7.185
2165700,"anderson",25,44.56288578,24,42.2068460088114,5.287
2449400,"antler",22,94.02840385,21,90.4471753753663,3.80866666666666
1541500,"arrowhead",43,96.36182269,42,93.2360378855818,3.2438
2410400,"augustine",10,171.1245206,9,169.060188466495,1.20633333333334
2340700,"ballard",25,502.5889546,24,485.885913282824,3.32340000000001
1523500,"bearskin",27,184.0830352,26,177.555450771808,3.546
1405200,"bigbass",13,176.9361856,12,169.790322850901,4.03866666666668
2453300,"bigbass",27,201.2364266,26,195.997571627513,2.60333333333333
1834700,"bigbeaver",43,15.87439418,42,15.5283958844527,2.17959999999999
1835100,"bigdummy",54,113.7264379,53,111.409830359977,2.037
2314300,"bigmartha",55,145.6419076,54,136.204020703705,6.4802
2079000,"bigmoon",48,186.9944919,47,181.278070282617,3.057
2419000,"bigole",30,87.53011287,29,85.5254982250513,2.29020000000001
1374800,"bigrocheacri",20,216.5113271,19,211.94813437004,2.1076
1602600,"bigsand",56,1427.485345,55,1365.86080265635,4.31699999999999
1835500,"bills",25,70.17232018,24,67.969103282641,3.13972360000001
1523800,"birch",27,197.5104327,26,188.832614328893,4.3936
2113000,"birch",73,364.0121439,72,350.917899059629,3.59719999999999
2453500,"birchisland",13,768.0462397,12,729.702811260044,4.99233333333334
2454100,"bluegill",68,20.0919168,67,19.606496090112,2.416
2356800,"bog",9,38.17352988,8,36.6931517004133,3.87802276666666
1619100,"boot",15,285.8222182,14,276.580633144867,3.23333333333333
1836600,"boot",20,31.33390315,19,29.2694495954104,6.58856174
1836700,"boot",44,87.84146043,43,84.2668986002352,4.06933333333334
2297800,"boot",16,177.7055474,15,170.793986309789,3.88933333333333
1537800,"booth",34,204.1477817,33,200.022363327406,2.0208
1541300,"brandy",44,112.7731067,43,109.285034509769,3.093
1782700,"bugle",10,24.57596762,9,20.599147216641,16.1817449666667
2105800,"butternut",14,144.9810406,13,141.987665381745,2.06466666666667
2079400,"camelia",6,61.82618139,5,58.4348092534872,5.48533333333333
2431300,"chippewa",11,281.9427709,10,240.503762242354,14.6976666666667
2425700,"christy",10,121.8764324,9,116.167084099297,4.68453842
1628450,"clair",18,51.47568768,17,49.7785342571904,3.297
1613300,"crooked",13,174.5303912,12,164.930637916029,5.50033333333334
2459100,"crooked",10,168.0282624,9,158.30222647808,5.78833333333333
2459200,"crooked",13,250.3118394,12,231.661104246306,7.451
